Metric,Lower_value,Upper_value,Unit,Currency,Geography,Context,Scope,Source_title,Source_URL,Source_location,Source_year,Year_in_source_dataset,Price_year_status,Verification_basis,Record_ID,Record_origin
Taihu reward for timely facility transfer,750.0,750.0,RMB/mu,,"Taihu waters within Suzhou administrative area, China",Timely facility-transfer reward 750 RMB/mu,reward conditional on timely facility transfer,关于太湖围网拆除补偿方案的公告（苏府公〔2018〕4号）,https://www.suzhou.gov.cn/szsrmzf/zfwj/201805/LQJZ9KC3GM25LQRTJA6R74K02KZKWB9M.shtml,"Lines 96-102: livelihood subsidy, free vocational training, social-security inclusion; lines 108-110: 750 RMB/mu + 750 RMB/mu reward.",2018,2018,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",TAIHU_REWARD_TRANSFER_750,47-candidate
Phosphorus abatement cost: energy crops,0.0,1000.0,SEK/kg P,,"Lake Glan drainage basin, Sweden",Energy crops 0-1000 SEK/kg P,Lake Glan drainage basin; energy crops,Developing a weighting set based on monetary damage estimates,https://www.diva-portal.org/smash/get/diva2%3A713329/FULLTEXT01.pdf,"PDF page 34, lines 1007-1032: Table 13 lists costs for P reduction in Lake Glan drainage basin; line 1055 gives source as Swedish EPA (2004).",2004 source compiled in 2008 report,2004 source compiled in 2008 report,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",GLAN_ENERGY_CROPS,47-candidate
Phosphorus abatement cost: grass on headlands,800.0,4500.0,SEK/kg P,,"Lake Glan drainage basin, Sweden",Grass on headlands 800-4500 SEK/kg P,Lake Glan drainage basin; grass on headlands,Developing a weighting set based on monetary damage estimates,https://www.diva-portal.org/smash/get/diva2%3A713329/FULLTEXT01.pdf,"PDF page 34, lines 1007-1032: Table 13 lists costs for P reduction in Lake Glan drainage basin; line 1055 gives source as Swedish EPA (2004).",2004 source compiled in 2008 report,2004 source compiled in 2008 report,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",GLAN_GRASS_HEADLANDS,47-candidate
Phosphorus abatement cost: wetlands and dams,1500.0,5000.0,SEK/kg P,,"Lake Glan drainage basin, Sweden",Wetlands/dams 1500-5000 SEK/kg P,Lake Glan drainage basin; wetlands/dams,Developing a weighting set based on monetary damage estimates,https://www.diva-portal.org/smash/get/diva2%3A713329/FULLTEXT01.pdf,"PDF page 34, lines 1007-1032: Table 13 lists costs for P reduction in Lake Glan drainage basin; line 1055 gives source as Swedish EPA (2004).",2004 source compiled in 2008 report,2004 source compiled in 2008 report,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",GLAN_WETLANDS_DAMS,47-candidate
Phosphorus abatement cost: protection zones,5000.0,30000.0,SEK/kg P,,"Lake Glan drainage basin, Sweden",Protection zones 5000-30000 SEK/kg P,Lake Glan drainage basin; protection zones,Developing a weighting set based on monetary damage estimates,https://www.diva-portal.org/smash/get/diva2%3A713329/FULLTEXT01.pdf,"PDF page 34, lines 1007-1032: Table 13 lists costs for P reduction in Lake Glan drainage basin; line 1055 gives source as Swedish EPA (2004).",2004 source compiled in 2008 report,2004 source compiled in 2008 report,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",GLAN_PROTECTION_ZONES,47-candidate
"Mean phosphorus retention cost, eastern Swedish wetlands",9385.0,9385.0,SEK/kg retained P,,"Southern Sweden, East and West regions",East region average cost 9385 SEK/kg retained P,233 Swedish wetlands; East region mean,Cost effectiveness of nutrient retention in constructed wetlands at a landscape level,https://pub.epsilon.slu.se/29829/1/djodjic-f-et-al-20221201.pdf ; https://doi.org/10.1016/j.jenvman.2022.116325,Lines 372-389: class shares including >5000 SEK/kg P and <1000 SEK/kg P; lines 423-443: Table 3 cost classes and East/West totals 9385 and 13126 SEK/kg P.,2022,2022,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",SWEDEN_WETLAND_EAST_MEAN,47-candidate
"Mean phosphorus retention cost, western Swedish wetlands",13126.0,13126.0,SEK/kg retained P,,"Southern Sweden, East and West regions",West region average cost 13126 SEK/kg retained P,233 Swedish wetlands; West region mean,Cost effectiveness of nutrient retention in constructed wetlands at a landscape level,https://pub.epsilon.slu.se/29829/1/djodjic-f-et-al-20221201.pdf ; https://doi.org/10.1016/j.jenvman.2022.116325,Lines 372-389: class shares including >5000 SEK/kg P and <1000 SEK/kg P; lines 423-443: Table 3 cost classes and East/West totals 9385 and 13126 SEK/kg P.,2022,2022,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",SWEDEN_WETLAND_WEST_MEAN,47-candidate
Lake Victoria LVEMP II total cost,130.8,130.8,US$ million total project cost,,Lake Victoria (KE/TZ/UG),Actual total project cost US$130.8M,LVEMP II actual total,Lake Victoria Environmental Management Project (LVEMP II) — Terminal Evaluation,https://documents1.worldbank.org/curated/en/866591545927201610/pdf/icr00001562-p100406-icr-document-12182018-636810265632510409.pdf,ICR financial table reports actual total US$130.8M and original+additional-financing planned total US$136.8M.,2017,2017,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",LVEMP_II_ACTUAL_1308,47-candidate
Lake Victoria LVEMP II total cost,136.8,136.8,US$ million total project cost,,Lake Victoria (KE/TZ/UG),Original plus additional-financing planned total US$136.8M,LVEMP II original + additional financing planned total,Lake Victoria Environmental Management Project (LVEMP II) — Terminal Evaluation,https://documents1.worldbank.org/curated/en/866591545927201610/pdf/icr00001562-p100406-icr-document-12182018-636810265632510409.pdf,ICR financial table reports actual total US$130.8M and original+additional-financing planned total US$136.8M.,2017,2017,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",LVEMP_II_PLANNED_1368,47-candidate
marine cage/raft aquaculture withdrawal compensation,450.0,1900.0,"CNY/standard 3 m x 3 m fish-raft grid, by depreciation category",CNY,"Quanzhou, Fujian; shallow-sea aquaculture withdrawal policy","Government notice lists standard fish-raft grid of 3 m x 3 m and compensation classes of CNY 1,900, 1,600, 1,200, 700 and 450 per standard grid.",Comparable only with other per-grid/per-cage removal records; no multi-country evidence found.,Quanzhou shallow-sea aquaculture withdrawal compensation standards,https://www.qg.gov.cn/zwgk/zfxxgkzl/zc/xzgfxwj/qzf/202308/t20230822_2924174.htm,Compensation-standard table,2023,2023,Not independently established from cited evidence,v5 supplementary direct extraction; local source-table record; not converted or pooled,CAGE_REMOVAL_CHINA_QUANZHOU_GRID_2023,v5 supplementary direct extraction
foam-float aquaculture raft replacement / low-plastic upgrade subsidy,170.0,170.0,CNY/m2 upgraded marine raft,CNY,Fujian marine aquaculture upgrade subsidy,Notice lists subsidy standard of CNY 170/m2 for marine aquaculture raft transformation/upgrade.,Low-plastic/raft upgrade evidence; China-only and not directly comparable with trap retrieval.,Fujian marine aquaculture transformation and upgrading subsidy standards,https://hyj.fuzhou.gov.cn/zwgk/zjxx/202408/P020240802577997608366.pdf,Subsidy-standard table,2023,2023,Not independently established from cited evidence,v5 supplementary direct extraction; local source-table record; not converted or pooled,LOW_PLASTIC_CHINA_FUJIAN_RAFT_M2_2023,v5 supplementary direct extraction
ghost trap retrieval campaign,13500.0,13500.0,USD/programme cost,USD,"Hecate Strait, British Columbia Area A crab fishery","GloLitter report gives a retrieval cost of about USD 13,500 for the Area A crab lost-gear programme; Ecotrust reports the 2021 Hecate Strait trip removed 251 traps.","Derived from two programme documents; useful as source-level evidence, not enough income-group coverage for a dumbbell plot.",Reporting and Retrieval of Lost Fishing Gear: Recommendations for Developing Effective Programmes,https://www.fao.org/3/cb8064en/cb8064en.pdf,GloLitter lost-gear retrieval case study; Ecotrust Hecate Strait trip report,2021,2020,Not independently established from cited evidence,v5 supplementary direct programme-cost extraction; 251 traps are reported separately and not linked to this cost; local source-table record; not converted or pooled,GEAR_CANADA_HECATE_TRAP_RETRIEVAL_2021,v5 supplementary direct programme-cost extraction; 251 traps are reported separately and not linked to this cost
derelict net removal,4960.0,4960.0,USD/acre net removed,USD,"Puget Sound, Washington","Report gives cost effectiveness for derelict net removal as USD 4,960 per acre of net.",Different unit from pot/trap retrieval; keep separate.,Derelict Fishing Gear Priority Ranking Project,https://nwstraits.org/sites/default/files/2025-10/priorityrankingreport-041808.pdf,Cost-effectiveness table,2007,2007,Not independently established from cited evidence,v5 supplementary direct extraction; local source-table record; not converted or pooled,GEAR_US_PUGET_DERELICT_NET_ACRE_2007,v5 supplementary direct extraction
Dungeness crab trap retrieval compensation,65.0,85.0,USD/trap retrieved,USD,California Dungeness crab trap retrieval pilot programmes,Report states recent gear retrieval pilot projects set compensation rates between USD 65 and USD 85 per trap.,"Compensation rate for retrieval effort, not full social cost of gear loss.",California Dungeness Crab Fishing Gear Working Group retrieval programme materials,https://www.opc.ca.gov/webmaster/ftp/project_pages/dctf/ec-meeting-19/EC_DCTF_Model_Eval_Gear_Retrieval_Program_February_2017.pdf,Lost gear retrieval compensation-rate discussion,2017,2017,Not independently established from cited evidence,v5 supplementary direct extraction; local source-table record; not converted or pooled,GEAR_US_CALIFORNIA_DCTF_RATE_2017,v5 supplementary direct extraction
deep-water anti-wave cage replacement subsidy,100000.0,400000.0,"CNY/cage, by cage circumference category",CNY,Fujian marine aquaculture upgrade subsidy,"Department final-accounts PDF lists deep-water anti-wave cage subsidy classes of CNY 100,000, 200,000, 300,000 and 400,000 per cage by cage circumference.","Cage-equipment upgrade subsidy, not cage-removal compensation.",2023 Fuzhou Marine and Fisheries Bureau Department Final Accounts,https://hyj.fuzhou.gov.cn/zwgk/zjxx/202408/P020240802577997608366.pdf,Project subsidy-standard table,2024,2023,Not independently established from cited evidence,v5 supplementary direct extraction; local source-table record; not converted or pooled,LOW_PLASTIC_CHINA_FUJIAN_DEEPWATER_CAGE_2023,v5 supplementary direct extraction
derelict crab/shrimp pot removal,193.0,193.0,USD/pot removed,USD,"Puget Sound, Washington",Report gives cost effectiveness for derelict pot removal as USD 193 per pot.,"Same unit as trap/pot retrieval, but available country coverage is currently high-income only; not a multicountry income-group dumbbell panel.",Derelict Fishing Gear Priority Ranking Project,https://nwstraits.org/sites/default/files/2025-10/priorityrankingreport-041808.pdf,Cost-effectiveness table,2007,2007,Not independently established from cited evidence,v5 supplementary direct extraction; local source-table record; not converted or pooled,GEAR_US_PUGET_DERELICT_POT_2007,v5 supplementary direct extraction
secondary-to-tertiary upgrade construction-cost indicator,367.46,4066.6,yuan per m3/d design capacity indicator,CNY,Nine WWTPs in southern China,[English translated title: Technical and economic indicators for upgrading municipal wastewater treatment plants] Tables 5-6 give construction-cost indicators including 367.46 and 4066.60 yuan/m3.,Do not plot on WWTP USD/m3 treated operating-cost axis.,城镇污水处理厂提标改造工程技术经济指标研究,https://www.jsjs1982.com/portal/article/index.html?id=3229 ; https://www.jsjs1982.com/upload/portal/20240802/90a81325b7d45d391cb650260b6278d2.pdf ; DOI:10.15890/j.cnki.jsjs.2024.07.024,Table 5 and Table 6,2024,2024,Not independently established from cited evidence,inherited prior verified-table extraction; not rechecked against primary source in v5; explicit quoted value/unit and cited table/page; no conversion,WWTP_CHINA_SC9_UPGRADE_CAPEX_LABEL,v5 restored from verified source table
small tilapia cage capital investment,47236.0,47236.0,USD per operation,USD,"Lake Victoria cage aquaculture, Uganda","Publication reports investment budgets USD47,236, USD94,393 and USD163,373 for small, medium and large cage operations.",Capital investment per operation; distinct from USD/kg production cost,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,GRÓ publication page lines 72-75 and PDF abstract/results,2021,2021,Not independently established from cited evidence,inherited prior verified-table extraction; not rechecked against primary source in v5; explicit quoted value/unit and cited table/page; no conversion,AQUA_UGANDA_CAGE_SMALL_INVESTMENT,v5 restored from verified source table
medium tilapia cage capital investment,94393.0,94393.0,USD per operation,USD,"Lake Victoria cage aquaculture, Uganda","Publication reports investment budgets USD47,236, USD94,393 and USD163,373 for small, medium and large cage operations.",Capital investment per operation; distinct from USD/kg production cost,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,GRÓ publication page lines 72-75 and PDF abstract/results,2021,2021,Not independently established from cited evidence,inherited prior verified-table extraction; not rechecked against primary source in v5; explicit quoted value/unit and cited table/page; no conversion,AQUA_UGANDA_CAGE_MEDIUM_INVESTMENT,v5 restored from verified source table
large tilapia cage capital investment,163373.0,163373.0,USD per operation,USD,"Lake Victoria cage aquaculture, Uganda","Publication reports investment budgets USD47,236, USD94,393 and USD163,373 for small, medium and large cage operations.",Capital investment per operation; distinct from USD/kg production cost,Economics of commercial tilapia cage aquaculture in Uganda: How economies of scale affect profitability,https://www.grocentre.is/ftp/moya/gro/index/publication/economics-of-commercial-tilapia-cage-aquaculture-in-uganda-how-economies-of-scale-affect-profitability ; https://www.grocentre.is/static/gro/publication/1786/document/Nazziwa21prf.pdf,GRÓ publication page lines 72-75 and PDF abstract/results,2021,2021,Not independently established from cited evidence,inherited prior verified-table extraction; not rechecked against primary source in v5; explicit quoted value/unit and cited table/page; no conversion,AQUA_UGANDA_CAGE_LARGE_INVESTMENT,v5 restored from verified source table
"Wetland phosphorus-retention cost class, West Sweden",1395.0,1500.0,SEK/kg P retained,SEK,"Swedish constructed wetlands, landscape-level analysis",Tables report West cost class 1395-1500 SEK/kg P retained.,Cost-class range; not the West regional mean,Cost efficiency of nutrient retention in constructed wetlands at a landscape level,https://pub.epsilon.slu.se/29829/1/djodjic-f-et-al-20221201.pdf ; https://doi.org/10.1016/j.jenvman.2022.116325,Tables 3-4,2022,2022,Not independently established from cited evidence,inherited prior verified-table extraction; not rechecked against primary source in v5; explicit quoted value/unit and cited table/page; no conversion,SWEDEN_WETLAND_WEST_CLASS_1395_1500,v5 restored from verified source table
"Wetland phosphorus-retention cost class, East Sweden",9363.0,13126.0,SEK/kg P retained,SEK,"Swedish constructed wetlands, landscape-level analysis",Tables report East cost class 9363-13126 SEK/kg P retained.,Cost-class range; not the East regional mean,Cost efficiency of nutrient retention in constructed wetlands at a landscape level,https://pub.epsilon.slu.se/29829/1/djodjic-f-et-al-20221201.pdf ; https://doi.org/10.1016/j.jenvman.2022.116325,Tables 3-4,2022,2022,Not independently established from cited evidence,inherited prior verified-table extraction; not rechecked against primary source in v5; explicit quoted value/unit and cited table/page; no conversion,SWEDEN_WETLAND_EAST_CLASS_9363_13126,v5 restored from verified source table
